scheduler,planner,order_mode,Tasks Completed,Task Success Rate,Total Task Time,Avg Task Time,Throughput,Total AGV Collisions,Scheduler Calls,Scheduler Total Time,Scheduler Avg Time,Planner Calls,Planner Total Time,Planner Avg Time,Decision Total Time,Sim Steps,finished,sim_steps
random,dhc,continuous_constant,99.65,0.9965,4684.79,47.04098231597034,0.17902224570112907,207.58,231.66,0.0019949449997830014,8.888670057474626e-06,561.0,10.434543806999608,0.018599979774869508,10.436538751999391,561.0,0.96,561.0
random,dhc,continuous_periodic,99.97,0.9997,17506.66,175.11427216494846,0.21245504923941502,184.87,158.56,0.003118290999977944,2.040140203019577e-05,475.46,8.844382214000147,0.018601757170925385,8.847500505000125,475.46,0.99,475.46
random,dhc,continuous_pareto,90.63,0.9063,21133.97,224.5716358060976,0.13089986977938606,325.8,193.31,0.004304147999973793,2.3726212235957053e-05,693.47,12.832142378998897,0.018503816375739158,12.83644652699887,693.47,0.2,693.47
random,dhc,continuous_burst,99.96,0.9995999999999999,19030.97,190.3831551806727,0.20206414836409425,198.1,180.68,0.0032184970004709612,1.8447818271748955e-05,500.21,9.31459292299889,0.018621971967928558,9.317811419999362,500.21,0.98,500.21
ta,astar,oneshot,100.0,1.0,12307.05,123.0705,0.34160926876028513,68.64,112.45,0.005052551000553649,4.854131753981753e-05,171.8,0.35637494600008723,0.0020376702752902924,0.36142749700064086,295.87,1.0,295.87
ta,astar,continuous_constant,100.0,1.0,3144.36,31.443599999999993,0.19686360620502444,124.35,307.61,0.005475671000049261,1.7997523856064217e-05,283.11,0.5475274229992192,0.0019332407491354333,0.5530030939992685,508.28,1.0,508.28
ta,astar,continuous_periodic,100.0,1.0,10392.01,103.92010000000002,0.3088422447585017,94.31,117.43,0.005921212000266678,5.3471630001916605e-05,199.83,0.37894853800084094,0.0018947130869138452,0.3848697500011076,326.33,1.0,326.33
ta,astar,continuous_pareto,100.0,1.0,9526.58,95.2658,0.2641411002598816,83.63,161.68,0.004989151999152455,3.298501176574108e-05,226.91,0.4747184909998941,0.002082564448310866,0.47970764299904656,384.06,1.0,384.06
ta,astar,continuous_burst,100.0,1.0,11307.39,113.0739,0.3017700495811554,77.42,148.96,0.005567286999175849,3.953711498392745e-05,191.2,0.3817606280007567,0.0019851395704702478,0.3873279149999325,334.11,1.0,334.11
ta,cbs_fw,oneshot,100.0,1.0,11220.79,112.20790000000002,0.36643283280968797,19.26,111.87,0.004904392999733318,4.7699154534729196e-05,202.71,0.30991641699924005,0.0015310470957641221,0.3148208099989733,276.33,1.0,276.33
ta,cbs_fw,continuous_constant,100.0,1.0,2699.95,26.999499999999998,0.20013338596957245,39.55,348.18,0.005305364001096677,1.5294093119030295e-05,341.86,0.5122285420001844,0.0014986740218924375,0.5175339060012811,499.93,1.0,499.93
ta,cbs_fw,continuous_periodic,100.0,1.0,9573.63,95.73629999999996,0.3227717536642543,21.08,124.66,0.005938823999831584,4.9341331499054865e-05,236.98,0.3697630350002419,0.0015544082287256994,0.37570185900007347,311.87,1.0,311.87
ta,cbs_fw,continuous_pareto,100.0,1.0,8796.09,87.96089999999995,0.27738680820015627,20.6,165.69,0.0049775029999455,3.196355957848827e-05,274.98,0.405031000000572,0.0014734729541339565,0.4100085030005175,365.62,1.0,365.62
ta,cbs_fw,continuous_burst,100.0,1.0,10422.17,104.22170000000004,0.31816409248311567,19.78,148.11,0.005445091999990837,3.873521210705071e-05,227.35,0.3471284120007294,0.0015268323330514038,0.3525735040007203,316.56,1.0,316.56
ta,dhc,oneshot,100.0,1.0,12866.46,128.66459999999995,0.3285999943901156,154.63,106.63,0.005825856999999815,5.916683262062426e-05,308.23,5.720812169999681,0.018561036905035144,5.726638026999681,308.23,1.0,308.23
ta,dhc,continuous_constant,99.82,0.9982,3064.32,30.736177216164442,0.19148674723465212,195.4,333.82,0.006782537000053708,2.0719335142436538e-05,524.98,9.76655276800053,0.018604419255038813,9.773335305000582,524.98,0.95,524.98
ta,dhc,continuous_periodic,100.0,1.0,10589.53,105.89530000000008,0.2957782057847048,151.81,125.91,0.007104689999905532,5.899495426747297e-05,341.09,6.3343489779981885,0.01857094234833955,6.341453667998094,341.09,1.0,341.09
ta,dhc,continuous_pareto,100.0,1.0,10132.19,101.32190000000003,0.24703896190464555,204.71,177.94,0.00608755100018243,3.6171793268675773e-05,411.68,7.646318974999576,0.01857398165163328,7.6524065259997585,411.68,1.0,411.68
ta,dhc,continuous_burst,100.0,1.0,11569.99,115.69990000000003,0.2909491637242474,156.5,153.51,0.006573410999080807,4.473067398251626e-05,347.33,6.453297146000969,0.0185798452475786,6.459870557000049,347.33,1.0,347.33
